date,transaction,money_flow,transaction_type,location,transaction_description,signed_amount,auto_bucket,bucket_override,final_bucket
2025-06-23,1840,Money Out,charity,TO_CONFIRM,TO_CONFIRM,-1840.0,Operations,TO_CONFIRM,Operations
2025-06-24,598,Money Out,Product Restocking,TO_CONFIRM,TO_CONFIRM,-598.0,Inventory,TO_CONFIRM,Inventory
2025-06-25,595,Money Out,Product Restocking,TO_CONFIRM,TO_CONFIRM,-595.0,Inventory,TO_CONFIRM,Inventory
2025-06-26,696,Money Out,Product Restocking,TO_CONFIRM,TO_CONFIRM,-696.0,Inventory,TO_CONFIRM,Inventory
2025-06-28,145,Money Out,Product Restocking,TO_CONFIRM,TO_CONFIRM,-145.0,Inventory,TO_CONFIRM,Inventory
2025-06-30,207,Money Out,Product Restocking,TO_CONFIRM,TO_CONFIRM,-207.0,Inventory,TO_CONFIRM,Inventory
2025-06-30,3313,Money In,Revenue,HTMall,TO_CONFIRM,3313.0,Inflow,TO_CONFIRM,Inflow
2025-06-30,2467,Money In,Revenue,deplomacyMall,TO_CONFIRM,2467.0,Inflow,TO_CONFIRM,Inflow
2025-07-01,462,Money Out,Product Restocking,TO_CONFIRM,TO_CONFIRM,-462.0,Inventory,TO_CONFIRM,Inventory
2025-07-02,188,Money Out,Product Restocking,TO_CONFIRM,TO_CONFIRM,-188.0,Inventory,TO_CONFIRM,Inventory
2025-07-03,870,Money Out,Product Restocking,TO_CONFIRM,TO_CONFIRM,-870.0,Inventory,TO_CONFIRM,Inventory
2025-07-05,768,Money Out,Product Restocking,TO_CONFIRM,TO_CONFIRM,-768.0,Inventory,TO_CONFIRM,Inventory
2025-07-07,1024,Money Out,Product Restocking,TO_CONFIRM,TO_CONFIRM,-1024.0,Inventory,TO_CONFIRM,Inventory
2025-07-09,12,Money Out,Product Restocking,TO_CONFIRM,TO_CONFIRM,-12.0,Inventory,TO_CONFIRM,Inventory
2025-07-10,729,Money Out,Product Restocking,TO_CONFIRM,TO_CONFIRM,-729.0,Inventory,TO_CONFIRM,Inventory
2025-07-12,3420,Money In,Revenue,HTMall,TO_CONFIRM,3420.0,Inflow,TO_CONFIRM,Inflow
2025-07-12,2936,Money In,Revenue,deplomacyMall,TO_CONFIRM,2936.0,Inflow,TO_CONFIRM,Inflow
2025-07-14,298,Money Out,Product Restocking,TO_CONFIRM,TO_CONFIRM,-298.0,Inventory,TO_CONFIRM,Inventory
2025-07-15,1618,Money Out,Product Restocking,TO_CONFIRM,TO_CONFIRM,-1618.0,Inventory,TO_CONFIRM,Inventory
2025-07-15,300,Money Out,TO_CONFIRM,TO_CONFIRM,ونش لنقل الماكينه,-300.0,Review,TO_CONFIRM,Review
2025-07-17,786,Money Out,Product Restocking,TO_CONFIRM,TO_CONFIRM,-786.0,Inventory,TO_CONFIRM,Inventory
2025-07-19,563,Money Out,Product Restocking,TO_CONFIRM,TO_CONFIRM,-563.0,Inventory,TO_CONFIRM,Inventory
2025-07-20,266,Money Out,Product Restocking,TO_CONFIRM,TO_CONFIRM,-266.0,Inventory,TO_CONFIRM,Inventory
2025-07-20,2000,Money Out,charity,TO_CONFIRM,TO_CONFIRM,-2000.0,Operations,TO_CONFIRM,Operations
2025-07-21,961,Money Out,Product Restocking,TO_CONFIRM,TO_CONFIRM,-961.0,Inventory,TO_CONFIRM,Inventory
2025-07-22,622,Money Out,Product Restocking,TO_CONFIRM,TO_CONFIRM,-622.0,Inventory,TO_CONFIRM,Inventory
2025-07-22,420,Money Out,charity,TO_CONFIRM,TO_CONFIRM,-420.0,Operations,TO_CONFIRM,Operations
2025-07-22,592,Money Out,Product Restocking,TO_CONFIRM,TO_CONFIRM,-592.0,Inventory,TO_CONFIRM,Inventory
2025-07-24,130,Money Out,Product Restocking,TO_CONFIRM,TO_CONFIRM,-130.0,Inventory,TO_CONFIRM,Inventory
2025-07-25,3712,Money In,Revenue,HTMall,TO_CONFIRM,3712.0,Inflow,TO_CONFIRM,Inflow
2025-07-26,341,Money Out,Product Restocking,TO_CONFIRM,TO_CONFIRM,-341.0,Inventory,TO_CONFIRM,Inventory
2025-07-26,2279,Money Out,TO_CONFIRM,TO_CONFIRM,تعديل الميزانيه,-2279.0,Review,TO_CONFIRM,Review
2025-07-27,3000,Money In,ads,HTMall,دعاية توربو تلاته اشهر,3000.0,Inflow,TO_CONFIRM,Inflow
2025-07-27,401,Money Out,Product Restocking,TO_CONFIRM,TO_CONFIRM,-401.0,Inventory,TO_CONFIRM,Inventory
2025-07-29,568,Money Out,Product Restocking,TO_CONFIRM,TO_CONFIRM,-568.0,Inventory,TO_CONFIRM,Inventory
2025-07-31,3323,Money In,Revenue,AlmouasafatHospital,TO_CONFIRM,3323.0,Inflow,TO_CONFIRM,Inflow
2025-07-31,1561,Money In,Revenue,HTMall,TO_CONFIRM,1561.0,Inflow,TO_CONFIRM,Inflow
2025-07-31,4498,Money In,Revenue,deplomacyMall,TO_CONFIRM,4498.0,Inflow,TO_CONFIRM,Inflow
2025-08-01,188,Money Out,Product Restocking,TO_CONFIRM,TO_CONFIRM,-188.0,Inventory,TO_CONFIRM,Inventory
2025-08-02,170,Money Out,Anas,TO_CONFIRM,TO_CONFIRM,-170.0,Owner Draw,TO_CONFIRM,Owner Draw
2025-08-02,170,Money In,from snacky,TO_CONFIRM,TO_CONFIRM,170.0,Review,TO_CONFIRM,Review
2025-08-02,571,Money Out,Product Restocking,TO_CONFIRM,TO_CONFIRM,-571.0,Inventory,TO_CONFIRM,Inventory
2025-08-03,251,Money Out,Product Restocking,TO_CONFIRM,TO_CONFIRM,-251.0,Inventory,TO_CONFIRM,Inventory
2025-08-04,352,Money Out,Product Restocking,TO_CONFIRM,TO_CONFIRM,-352.0,Inventory,TO_CONFIRM,Inventory
2025-08-04,2007,Money Out,TO_CONFIRM,TO_CONFIRM,الى تيسير سعر شراء (bill accepter),-2007.0,Review,TO_CONFIRM,Review
2025-08-05,707,Money Out,Product Restocking,TO_CONFIRM,TO_CONFIRM,-707.0,Inventory,TO_CONFIRM,Inventory
2025-08-07,817,Money Out,Product Restocking,TO_CONFIRM,TO_CONFIRM,-817.0,Inventory,TO_CONFIRM,Inventory
2025-08-11,3232,Money In,Revenue,HTMall,TO_CONFIRM,3232.0,Inflow,TO_CONFIRM,Inflow
2025-08-11,211,Money Out,Product Restocking,TO_CONFIRM,TO_CONFIRM,-211.0,Inventory,TO_CONFIRM,Inventory
2025-08-12,774,Money Out,Product Restocking,TO_CONFIRM,TO_CONFIRM,-774.0,Inventory,TO_CONFIRM,Inventory
2025-08-13,362,Money Out,Product Restocking,TO_CONFIRM,TO_CONFIRM,-362.0,Inventory,TO_CONFIRM,Inventory
2025-08-14,796,Money Out,Product Restocking,TO_CONFIRM,TO_CONFIRM,-796.0,Inventory,TO_CONFIRM,Inventory
2025-08-16,442,Money Out,Product Restocking,TO_CONFIRM,TO_CONFIRM,-442.0,Inventory,TO_CONFIRM,Inventory
2025-08-17,170,Money Out,Product Restocking,TO_CONFIRM,TO_CONFIRM,-170.0,Inventory,TO_CONFIRM,Inventory
2025-08-18,195,Money Out,Product Restocking,TO_CONFIRM,TO_CONFIRM,-195.0,Inventory,TO_CONFIRM,Inventory
2025-08-19,641,Money Out,Product Restocking,TO_CONFIRM,TO_CONFIRM,-641.0,Inventory,TO_CONFIRM,Inventory
2025-08-21,1264,Money Out,Product Restocking,TO_CONFIRM,TO_CONFIRM,-1264.0,Inventory,TO_CONFIRM,Inventory
2025-08-23,332,Money Out,Product Restocking,TO_CONFIRM,TO_CONFIRM,-332.0,Inventory,TO_CONFIRM,Inventory
2025-08-23,4345,Money In,Revenue,deplomacyMall,TO_CONFIRM,4345.0,Inflow,TO_CONFIRM,Inflow
2025-08-26,210,Money Out,Product Restocking,TO_CONFIRM,TO_CONFIRM,-210.0,Inventory,TO_CONFIRM,Inventory
2025-08-27,4668,Money In,Revenue,AlmouasafatHospital,TO_CONFIRM,4668.0,Inflow,TO_CONFIRM,Inflow
2025-08-28,591,Money Out,Product Restocking,TO_CONFIRM,TO_CONFIRM,-591.0,Inventory,TO_CONFIRM,Inventory
2025-08-28,3276,Money In,Revenue,HTMall,TO_CONFIRM,3276.0,Inflow,TO_CONFIRM,Inflow
2025-08-28,4349,Money Out,TO_CONFIRM,TO_CONFIRM,تعديل ميزانيه ,-4349.0,Review,TO_CONFIRM,Review
2025-08-29,176,Money Out,Product Restocking,TO_CONFIRM,TO_CONFIRM,-176.0,Inventory,TO_CONFIRM,Inventory
2025-08-30,237,Money Out,Product Restocking,TO_CONFIRM,TO_CONFIRM,-237.0,Inventory,TO_CONFIRM,Inventory
2025-08-31,554,Money Out,Product Restocking,TO_CONFIRM,TO_CONFIRM,-554.0,Inventory,TO_CONFIRM,Inventory
2025-08-31,960,Money In,Revenue,AlmouasafatHospital,TO_CONFIRM,960.0,Inflow,TO_CONFIRM,Inflow
2025-08-31,1277,Money In,Revenue,deplomacyMall,TO_CONFIRM,1277.0,Inflow,TO_CONFIRM,Inflow
2025-08-31,1992,Money In,Revenue,HTMall,TO_CONFIRM,1992.0,Inflow,TO_CONFIRM,Inflow
2025-09-01,TO_CONFIRM,TO_CONFIRM,TO_CONFIRM,TO_CONFIRM,TO_CONFIRM,0.0,Review,TO_CONFIRM,Review
2025-09-01,685,Money In,Revenue,deplomacyMall,TO_CONFIRM,685.0,Inflow,TO_CONFIRM,Inflow
2025-09-01,6000,Money In,ads,HTMall,دعاية توربو الى شهر 3/2026,6000.0,Inflow,TO_CONFIRM,Inflow
2025-09-01,4000,Money In,ads,deplomacyMall,دعاية توربو الى شهر 3/2026,4000.0,Inflow,TO_CONFIRM,Inflow
2025-09-02,670,Money Out,Product Restocking,TO_CONFIRM,TO_CONFIRM,-670.0,Inventory,TO_CONFIRM,Inventory
2025-09-04,630,Money Out,Product Restocking,TO_CONFIRM,TO_CONFIRM,-630.0,Inventory,TO_CONFIRM,Inventory
2025-09-08,510,Money Out,Product Restocking,TO_CONFIRM,TO_CONFIRM,-510.0,Inventory,TO_CONFIRM,Inventory
2025-09-08,250,Money Out,TO_CONFIRM,TO_CONFIRM,نقل الماكينه,-250.0,Review,TO_CONFIRM,Review
2025-09-09,442,Money Out,Product Restocking,TO_CONFIRM,TO_CONFIRM,-442.0,Inventory,TO_CONFIRM,Inventory
2025-09-10,471,Money Out,Product Restocking,TO_CONFIRM,TO_CONFIRM,-471.0,Inventory,TO_CONFIRM,Inventory
2025-09-11,133,Money Out,Product Restocking,TO_CONFIRM,TO_CONFIRM,-133.0,Inventory,TO_CONFIRM,Inventory
2025-09-13,1033,Money Out,Product Restocking,TO_CONFIRM,TO_CONFIRM,-1033.0,Inventory,TO_CONFIRM,Inventory
2025-09-13,530,Money Out,TO_CONFIRM,TO_CONFIRM,تحويل دولار,-530.0,Review,TO_CONFIRM,Review
2025-09-14,2909,Money In,Revenue,HTMall,TO_CONFIRM,2909.0,Inflow,TO_CONFIRM,Inflow
2025-09-15,300,Money Out,TO_CONFIRM,HTMall,كهرباء شهر 6/7/8,-300.0,Review,TO_CONFIRM,Review
2025-09-17,665,Money Out,Product Restocking,TO_CONFIRM,TO_CONFIRM,-665.0,Inventory,TO_CONFIRM,Inventory
2025-09-20,252,Money Out,Product Restocking,TO_CONFIRM,TO_CONFIRM,-252.0,Inventory,TO_CONFIRM,Inventory
2025-09-20,2611,Money In,Revenue,AlmouasafatHospital,TO_CONFIRM,2611.0,Inflow,TO_CONFIRM,Inflow
2025-09-20,2371,Money In,Revenue,deplomacyMall,TO_CONFIRM,2371.0,Inflow,TO_CONFIRM,Inflow
2025-09-21,1033,Money Out,Product Restocking,TO_CONFIRM,TO_CONFIRM,-1033.0,Inventory,TO_CONFIRM,Inventory
2025-09-22,470,Money Out,Product Restocking,TO_CONFIRM,TO_CONFIRM,-470.0,Inventory,TO_CONFIRM,Inventory
2025-09-24,1117,Money Out,Product Restocking,TO_CONFIRM,TO_CONFIRM,-1117.0,Inventory,TO_CONFIRM,Inventory
2025-09-24,360,Money In,Revenue,HTMall,TO_CONFIRM,360.0,Inflow,TO_CONFIRM,Inflow
2025-09-24,35,Money In,Revenue,deplomacyMall,TO_CONFIRM,35.0,Inflow,TO_CONFIRM,Inflow
2025-09-25,1240,Money Out,Product Restocking,TO_CONFIRM,TO_CONFIRM,-1240.0,Inventory,TO_CONFIRM,Inventory
2025-10-15,1224,Money In,Revenue,deplomacyMall,TO_CONFIRM,1224.0,Inflow,TO_CONFIRM,Inflow
2025-09-29,1341,Money In,Revenue,AlmouasafatHospital,TO_CONFIRM,1341.0,Inflow,TO_CONFIRM,Inflow
2025-09-29,361,Money In,Revenue,HTMall,TO_CONFIRM,361.0,Inflow,TO_CONFIRM,Inflow
2025-09-30,2254,Money In,Revenue,HTMall,TO_CONFIRM,2254.0,Inflow,TO_CONFIRM,Inflow
2025-10-01,639,Money Out,Product Restocking,TO_CONFIRM,TO_CONFIRM,-639.0,Inventory,TO_CONFIRM,Inventory
2025-10-04,985,Money Out,Product Restocking,TO_CONFIRM,TO_CONFIRM,-985.0,Inventory,TO_CONFIRM,Inventory
2025-10-05,492,Money Out,Product Restocking,TO_CONFIRM,TO_CONFIRM,-492.0,Inventory,TO_CONFIRM,Inventory
2025-10-06,1446,Money Out,Product Restocking,TO_CONFIRM,TO_CONFIRM,-1446.0,Inventory,TO_CONFIRM,Inventory
2025-10-07,638,Money Out,Product Restocking,TO_CONFIRM,TO_CONFIRM,-638.0,Inventory,TO_CONFIRM,Inventory
2025-10-08,202,Money Out,Product Restocking,TO_CONFIRM,TO_CONFIRM,-202.0,Inventory,TO_CONFIRM,Inventory
2025-10-09,810,Money Out,Product Restocking,TO_CONFIRM,TO_CONFIRM,-810.0,Inventory,TO_CONFIRM,Inventory
2025-10-11,300,Money Out,TO_CONFIRM,TO_CONFIRM,توصيل ,-300.0,Review,TO_CONFIRM,Review
2025-10-11,1675,Money Out,Product Restocking,TO_CONFIRM,TO_CONFIRM,-1675.0,Inventory,TO_CONFIRM,Inventory
2025-10-13,27,Money Out,Product Restocking,TO_CONFIRM,TO_CONFIRM,-27.0,Inventory,TO_CONFIRM,Inventory
2025-10-14,600,Money Out,Product Restocking,TO_CONFIRM,TO_CONFIRM,-600.0,Inventory,TO_CONFIRM,Inventory
2025-10-15,908,Money Out,Product Restocking,TO_CONFIRM,TO_CONFIRM,-908.0,Inventory,TO_CONFIRM,Inventory
2025-10-15,3000,Money Out,TO_CONFIRM,TO_CONFIRM,تعديل ميزانيه,-3000.0,Review,TO_CONFIRM,Review
2025-10-15,2765,Money In,Revenue,AlmouasafatHospital,TO_CONFIRM,2765.0,Inflow,TO_CONFIRM,Inflow
2025-10-15,100,Money Out,TO_CONFIRM,HTMall,كهرباء,-100.0,Review,TO_CONFIRM,Review
2025-10-18,2435,Money Out,TO_CONFIRM,TO_CONFIRM,"تحويل الى شهاب, 30% من سعر الماكينه الجديده وبغص مصاريف الدعايه",-2435.0,Review,TO_CONFIRM,Review
2025-10-18,840,Money Out,charity,TO_CONFIRM,TO_CONFIRM,-840.0,Operations,TO_CONFIRM,Operations
2025-10-18,600,Money Out,Product Restocking,TO_CONFIRM,TO_CONFIRM,-600.0,Inventory,TO_CONFIRM,Inventory
2025-10-20,211,Money Out,Product Restocking,TO_CONFIRM,TO_CONFIRM,-211.0,Inventory,TO_CONFIRM,Inventory
2025-10-20,2593,Money In,Revenue,deplomacyMall,TO_CONFIRM,2593.0,Inflow,TO_CONFIRM,Inflow
2025-10-20,2599,Money In,Revenue,SeaCost,TO_CONFIRM,2599.0,Inflow,TO_CONFIRM,Inflow
2025-10-22,1103,Money Out,Product Restocking,TO_CONFIRM,TO_CONFIRM,-1103.0,Inventory,TO_CONFIRM,Inventory
2025-10-20,3636,Money In,Revenue,HTMall,TO_CONFIRM,3636.0,Inflow,TO_CONFIRM,Inflow
2025-10-23,180,Money Out,Product Restocking,TO_CONFIRM,TO_CONFIRM,-180.0,Inventory,TO_CONFIRM,Inventory
2025-10-25,404,Money Out,Product Restocking,TO_CONFIRM,TO_CONFIRM,-404.0,Inventory,TO_CONFIRM,Inventory
2025-10-26,743,Money Out,Product Restocking,TO_CONFIRM,TO_CONFIRM,-743.0,Inventory,TO_CONFIRM,Inventory
2025-10-27,378,Money Out,Product Restocking,TO_CONFIRM,TO_CONFIRM,-378.0,Inventory,TO_CONFIRM,Inventory
2025-10-28,348,Money Out,Product Restocking,TO_CONFIRM,TO_CONFIRM,-348.0,Inventory,TO_CONFIRM,Inventory
2025-10-29,987,Money Out,Product Restocking,TO_CONFIRM,TO_CONFIRM,-987.0,Inventory,TO_CONFIRM,Inventory
2025-10-30,483,Money Out,Product Restocking,TO_CONFIRM,TO_CONFIRM,-483.0,Inventory,TO_CONFIRM,Inventory
2025-10-31,3060,Money In,Revenue,HTMall,TO_CONFIRM,3060.0,Inflow,TO_CONFIRM,Inflow
2025-10-31,1262,Money In,Revenue,SeaCost,TO_CONFIRM,1262.0,Inflow,TO_CONFIRM,Inflow
2025-10-31,2354,Money In,Revenue,AlmouasafatHospital,TO_CONFIRM,2354.0,Inflow,TO_CONFIRM,Inflow
2025-10-31,819,Money In,Revenue,deplomacyMall,TO_CONFIRM,819.0,Inflow,TO_CONFIRM,Inflow
2025-11-02,521,Money Out,Product Restocking,TO_CONFIRM,TO_CONFIRM,-521.0,Inventory,TO_CONFIRM,Inventory
2025-11-05,398,Money Out,Product Restocking,TO_CONFIRM,TO_CONFIRM,-398.0,Inventory,TO_CONFIRM,Inventory
2025-11-06,748,Money Out,Product Restocking,TO_CONFIRM,TO_CONFIRM,-748.0,Inventory,TO_CONFIRM,Inventory
2025-11-08,852,Money Out,Product Restocking,TO_CONFIRM,TO_CONFIRM,-852.0,Inventory,TO_CONFIRM,Inventory
2025-11-17,1421,Money Out,TO_CONFIRM,TO_CONFIRM,تعديل الميزانيه,-1421.0,Review,TO_CONFIRM,Review
2025-11-18,13000,Money Out,TO_CONFIRM,TO_CONFIRM,new machine ,-13000.0,Review,TO_CONFIRM,Review
2025-11-18,3000,Money Out,Anas,TO_CONFIRM,TO_CONFIRM,-3000.0,Owner Draw,TO_CONFIRM,Owner Draw
2025-11-19,4942,Money Out,Product Restocking,TO_CONFIRM,TO_CONFIRM,-4942.0,Inventory,TO_CONFIRM,Inventory
2025-11-30,3893,Money In,Revenue,deplomacyMall,TO_CONFIRM,3893.0,Inflow,TO_CONFIRM,Inflow
2025-11-30,4284,Money In,Revenue,AlmouasafatHospital,TO_CONFIRM,4284.0,Inflow,TO_CONFIRM,Inflow
2025-11-30,3493,Money In,Revenue,SeaCost,TO_CONFIRM,3493.0,Inflow,TO_CONFIRM,Inflow
2025-11-30,5090,Money In,Revenue,HTMall,TO_CONFIRM,5090.0,Inflow,TO_CONFIRM,Inflow
2025-12-04,500,Money Out,TO_CONFIRM,TO_CONFIRM,عربون للمصمم,-500.0,Review,TO_CONFIRM,Review
2025-12-07,700,Money Out,TO_CONFIRM,SeaCost,ايجار seacost,-700.0,Review,TO_CONFIRM,Review
2025-12-07,100,Money Out,TO_CONFIRM,HTMall,كهرباء,-100.0,Review,TO_CONFIRM,Review
2025-12-07,1400,Money Out,Ahmed,TO_CONFIRM,مرتب شهر 11 احمد,-1400.0,Operations,TO_CONFIRM,Operations
2025-12-07,10656,Money Out,Product Restocking,TO_CONFIRM,لاحمد لشراء بضاعه,-10656.0,Inventory,TO_CONFIRM,Inventory
2025-12-20,2329,Money In,Revenue,deplomacyMall,TO_CONFIRM,2329.0,Inflow,TO_CONFIRM,Inflow
2025-12-20,2766,Money In,Revenue,AlmouasafatHospital,TO_CONFIRM,2766.0,Inflow,TO_CONFIRM,Inflow
2025-12-20,2607,Money In,Revenue,SeaCost,TO_CONFIRM,2607.0,Inflow,TO_CONFIRM,Inflow
2025-12-20,3085,Money In,Revenue,HTMall,TO_CONFIRM,3085.0,Inflow,TO_CONFIRM,Inflow
2025-12-22,6400,Money Out,TO_CONFIRM,TO_CONFIRM,خضم ديون الى توربو,-6400.0,Review,TO_CONFIRM,Review
2025-12-29,1050,Money Out,Product Restocking,TO_CONFIRM,TO_CONFIRM,-1050.0,Inventory,TO_CONFIRM,Inventory
2025-12-28,840,Money Out,charity,TO_CONFIRM,TO_CONFIRM,-840.0,Operations,TO_CONFIRM,Operations
2025-12-28,4083,Money In,Revenue,HTMall,TO_CONFIRM,4083.0,Inflow,TO_CONFIRM,Inflow
2025-12-31,924,Money In,Revenue,HTMall,TO_CONFIRM,924.0,Inflow,TO_CONFIRM,Inflow
2025-12-31,2292,Money In,Revenue,deplomacyMall,TO_CONFIRM,2292.0,Inflow,TO_CONFIRM,Inflow
2025-12-31,1192,Money In,Revenue,SeaCost,TO_CONFIRM,1192.0,Inflow,TO_CONFIRM,Inflow
2025-12-31,2349,Money In,Revenue,AlmouasafatHospital,TO_CONFIRM,2349.0,Inflow,TO_CONFIRM,Inflow
2026-01-05,11810,Money Out,shipping,TO_CONFIRM,TO_CONFIRM,-11810.0,Review,TO_CONFIRM,Review
2026-01-06,500,Money Out,TO_CONFIRM,TO_CONFIRM,نقل ماكينات,-500.0,Review,TO_CONFIRM,Review
2026-01-16,8000,Money Out,Product Restocking,TO_CONFIRM,TO_CONFIRM,-8000.0,Inventory,TO_CONFIRM,Inventory
2026-01-16,3040,Money Out,Product Restocking,TO_CONFIRM,TO_CONFIRM,-3040.0,Inventory,TO_CONFIRM,Inventory
2026-01-15,2473,Money In,Revenue,SeaCost,TO_CONFIRM,2473.0,Inflow,TO_CONFIRM,Inflow
2026-01-15,4513,Money In,Revenue,HTMall,TO_CONFIRM,4513.0,Inflow,TO_CONFIRM,Inflow
2026-01-18,1966,Money Out,Product Restocking,TO_CONFIRM,TO_CONFIRM,-1966.0,Inventory,TO_CONFIRM,Inventory
2026-01-20,2383,Money In,Revenue,deplomacyMall,TO_CONFIRM,2383.0,Inflow,TO_CONFIRM,Inflow
2026-01-21,2426,Money In,Revenue,SeaCost,TO_CONFIRM,2426.0,Inflow,TO_CONFIRM,Inflow
2026-01-15,700,Money Out,TO_CONFIRM,TO_CONFIRM,تكميل تصميم الراكون,-700.0,Review,TO_CONFIRM,Review
2026-01-22,300,Money Out,TO_CONFIRM,TO_CONFIRM,تصميم الماكينه,-300.0,Review,TO_CONFIRM,Review
2026-01-22,3397,Money Out,Product Restocking,TO_CONFIRM,TO_CONFIRM,-3397.0,Inventory,TO_CONFIRM,Inventory
2026-01-23,2000,Money Out,storage,TO_CONFIRM,اجار المخزن,-2000.0,Fixed Costs,TO_CONFIRM,Fixed Costs
2026-01-23,3614,Money In,Revenue,AlmouasafatHospital,TO_CONFIRM,3614.0,Inflow,TO_CONFIRM,Inflow
2026-01-25,320,Money Out,TO_CONFIRM,TO_CONFIRM,TO_CONFIRM,-320.0,Review,TO_CONFIRM,Review
2026-01-25,140,Money Out,TO_CONFIRM,TO_CONFIRM,TO_CONFIRM,-140.0,Review,TO_CONFIRM,Review
2026-01-27,2085,Money Out,Product Restocking,TO_CONFIRM,TO_CONFIRM,-2085.0,Inventory,TO_CONFIRM,Inventory
2026-01-25,3621,Money In,Revenue,HTMall,TO_CONFIRM,3621.0,Inflow,TO_CONFIRM,Inflow
2026-01-31,3018,Money In,Revenue,Istiklal,TO_CONFIRM,3018.0,Inflow,TO_CONFIRM,Inflow
2026-01-31,1265,Money In,Revenue,SeaCost,TO_CONFIRM,1265.0,Inflow,TO_CONFIRM,Inflow
2026-01-31,2210,Money In,Revenue,HTMall,TO_CONFIRM,2210.0,Inflow,TO_CONFIRM,Inflow
2026-01-31,3000,Money Out,TO_CONFIRM,TO_CONFIRM,TO_CONFIRM,-3000.0,Review,TO_CONFIRM,Review
2026-01-31,2921,Money Out,TO_CONFIRM,TO_CONFIRM,TO_CONFIRM,-2921.0,Review,TO_CONFIRM,Review
2026-01-31,511,Money In,Revenue,deplomacyMall,TO_CONFIRM,511.0,Inflow,TO_CONFIRM,Inflow
2026-01-31,1378,Money In,Revenue,AlmouasafatHospital,TO_CONFIRM,1378.0,Inflow,TO_CONFIRM,Inflow
2026-02-02,500,Money Out,TO_CONFIRM,TO_CONFIRM,صمصار المخزن,-500.0,Review,TO_CONFIRM,Review
2026-02-02,500,Money Out,Rent,TO_CONFIRM,ايجار seacoast,-500.0,Fixed Costs,TO_CONFIRM,Fixed Costs
2026-02-03,3197,Money Out,Product Restocking,TO_CONFIRM,TO_CONFIRM,-3197.0,Inventory,TO_CONFIRM,Inventory
2026-02-03,6000,Money In,ads,TO_CONFIRM,"دعاية توربو شهر 3,4,5",6000.0,Inflow,TO_CONFIRM,Inflow
2026-02-03,1500,Money Out,Ahmed,TO_CONFIRM,مرتب شهر طناش وواحد,-1500.0,Operations,TO_CONFIRM,Operations
2026-02-05,950,Money Out,Anas,TO_CONFIRM,TO_CONFIRM,-950.0,Owner Draw,TO_CONFIRM,Owner Draw
2026-02-07,557,Money In,Revenue,AlmouasafatHospital,TO_CONFIRM,557.0,Inflow,TO_CONFIRM,Inflow
2026-02-07,1824,Money In,Revenue,AlTahaddy,TO_CONFIRM,1824.0,Inflow,TO_CONFIRM,Inflow
2026-02-07,2487,Money In,Revenue,HTMall,TO_CONFIRM,2487.0,Inflow,TO_CONFIRM,Inflow
2026-02-07,771,Money Out,Product Restocking,TO_CONFIRM,TO_CONFIRM,-771.0,Inventory,TO_CONFIRM,Inventory
2026-02-08,1727,Money In,Revenue,SeaCost,TO_CONFIRM,1727.0,Inflow,TO_CONFIRM,Inflow
2026-02-08,167,Money Out,Product Restocking,TO_CONFIRM,TO_CONFIRM,-167.0,Inventory,TO_CONFIRM,Inventory
2026-02-09,340,Money Out,Product Restocking,TO_CONFIRM,TO_CONFIRM,-340.0,Inventory,TO_CONFIRM,Inventory
2026-02-11,1251,Money In,Revenue,AlmouasafatHospital,TO_CONFIRM,1251.0,Inflow,TO_CONFIRM,Inflow
2026-02-11,1196,Money In,Revenue,SeaCost,TO_CONFIRM,1196.0,Inflow,TO_CONFIRM,Inflow
2026-02-11,700,Money In,Revenue,HTMall,TO_CONFIRM,700.0,Inflow,TO_CONFIRM,Inflow
2026-02-12,1050,Money Out,Product Restocking,TO_CONFIRM,TO_CONFIRM,-1050.0,Inventory,TO_CONFIRM,Inventory
2026-02-13,2217,Money Out,Product Restocking,TO_CONFIRM,TO_CONFIRM,-2217.0,Inventory,TO_CONFIRM,Inventory
2026-02-14,1753,Money In,Revenue,AlTahaddy,TO_CONFIRM,1753.0,Inflow,TO_CONFIRM,Inflow
2026-02-14,1146,Money Out,Product Restocking,TO_CONFIRM,TO_CONFIRM,-1146.0,Inventory,TO_CONFIRM,Inventory
2026-02-15,1661,Money Out,Product Restocking,TO_CONFIRM,TO_CONFIRM,-1661.0,Inventory,TO_CONFIRM,Inventory
2026-02-15,979,Money In,Revenue,SeaCost,TO_CONFIRM,979.0,Inflow,TO_CONFIRM,Inflow
2026-02-15,1667,Money In,Revenue,HTLand,TO_CONFIRM,1667.0,Inflow,TO_CONFIRM,Inflow
2026-02-15,1300,Money In,Revenue,HTMall,TO_CONFIRM,1300.0,Inflow,TO_CONFIRM,Inflow
2026-02-16,1501,Money Out,Product Restocking,TO_CONFIRM,TO_CONFIRM,-1501.0,Inventory,TO_CONFIRM,Inventory
2026-02-17,1882,Money In,Revenue,deplomacyMall,TO_CONFIRM,1882.0,Inflow,TO_CONFIRM,Inflow
2026-02-17,2385,Money In,Revenue,Istiklal,TO_CONFIRM,2385.0,Inflow,TO_CONFIRM,Inflow
2026-02-18,987,Money Out,Product Restocking,TO_CONFIRM,TO_CONFIRM,-987.0,Inventory,TO_CONFIRM,Inventory
